类型,ID,章节,难度,题目内容,行号
练习题,9.3-8,第9章 中位数和顺序统计学,normal,设 $X[1..n] $和 $Y[1..n] $为两个数组，每个都包含 $n $个已排好序的数。给出一个求数组 $X $和 $Y $中所有 $2n $个元素的中位数的、 $O(\lg n) $时间的算...,4810
练习题,9.3-9,第9章 中位数和顺序统计学,normal,Olay 教授是一家石油公司的顾问，这家公司正在计划建造一条由东向西的大型管道，它穿过一个有 $n $口油井的油田。从每口井中都有一条喷油管道沿最短路径与主管道直接连接（或南或北），如图 9-2 所示...,4814
练习题,10.1-1,第10章 基本数据结构,normal,"仿照图10-1，说明对一个存储在数组 $S[1..6] $中的、初始为空的栈 $S $，依次执行PUSH(S, 4)、PUSH(S, 1)、PUSH(S, 3)、POP(S)、PUSH(S, 8)以及...",5031
练习题,10.1-2,第10章 基本数据结构,normal,说明如何用一个数组 $A[1..n] $来实现两个栈，使得两个栈中的元素总数不到 $n $时，两者都不会发生上溢。注意 PUSH 和 POP 操作的时间应为 $O(1) $。,5032
练习题,10.1-3,第10章 基本数据结构,normal,"仿照图10-2，说明对一个存储在数组 $Q[1..6] $中的、初始为空的队列 $Q $，依次执行 ENQUEUE（ $Q, 4 $），ENQUEUE（ $Q, 1 $），ENQUEUE（ $Q, 3...",5033
练习题,10.1-4,第10章 基本数据结构,normal,重写 ENQUEUE 和 DEQUEUE，使之能处理队列的下溢和上溢。,5034
练习题,10.1-5,第10章 基本数据结构,normal,栈的插入和删除操作都是在一端进行的，而队列的插入和删除却是在两头进行的。另有一种双端队列(deque)，其两端都可以做插入和删除操作。对于一个用数组构造的双端队列，请写出四个在两端进行插入和删除操作的...,5035
练习题,10.1-6,第10章 基本数据结构,normal,说明如何用两个栈来实现一个队列，并分析有关队列操作的运行时间。,5036
练习题,10.1-7,第10章 基本数据结构,normal,说明如何用两个队列来实现一个栈，并分析有关栈操作的运行时间。,5037
练习题,10.2-1,第10章 基本数据结构,normal,动态集合上的操作 INSERT 能否用一个单链表在 $O(1) $时间内实现？对 DELETE 操作呢？,5136
练习题,10.2-2,第10章 基本数据结构,normal,用一单链表 $L $实现一个栈，要求PUSH和POP操作的时间仍为 $O(1) $。,5137
练习题,10.2-3,第10章 基本数据结构,normal,用一单链表 $L $实现一个队列，要求 ENQUEUE 和 DEQUEUE 操作的时间仍为 $O(1) $。,5138
练习题,10.2-4,第10章 基本数据结构,normal,如前文所写，LIST-SEARCH'过程的每一次循环迭代都需要做两个测试：一个检查 $x \neq \operatorname{nil}[L] $，一个检查 $key[x] \neq k $。说明如何...,5139
练习题,10.2-5,第10章 基本数据结构,normal,用环形单链表来实现字典操作 INSERT、DELETE 和 SEARCH，并给出它们的运行时间。,5140
练习题,10.2-6,第10章 基本数据结构,normal,动态集合操作 UNION 以两个不相交的集合 $S_{1} $和 $S_{2} $作为输入，输出集合 $S = S_{1} \cup S_{2} $包含了 $S_{1} $和 $S_{2} $的所有元...,5141
练习题,10.2-7,第10章 基本数据结构,normal,请给出一个 $\Theta(n) $时间的非递归过程，它对含 $n $个元素的单链表的链进行逆转。除了链表本身占用的空间外，该过程应仅使用固定量的存储空间。 $\star 10.2-8 $说明如何对每...,5142
练习题,10.3-1,第10章 基本数据结构,normal,"请画出序列 $\langle 13,4,8,19,5,11\rangle $存储在以多重数组表示的双链表中的形式。另画出在单数组表示下的形式。",5236
练习题,10.3-2,第10章 基本数据结构,normal,对一组用单数组表示实现的同构对象，写出其过程ALLOCATE-OBJECT和FREE-OBJECT。,5238
练习题,10.3-3,第10章 基本数据结构,normal,在过程 ALLOCATE-OBJECT 和 FREE-OBJECT 的实现中，为什么不需要置或重置对象的 prev 域？,5239
练习题,10.3-4,第10章 基本数据结构,normal,我们常常希望一个双链表中的所有元素在存储器中能够紧凑地排列在一起，例如使用多重数组表示中的前 $m $个下标位置（在一个分页的虚拟计算机环境中情况就是这样）。假设链表以外没有指向链表元素的指针，请说明...,5240
练习题,10.3-5,第10章 基本数据结构,normal,设 $L $是一长度为 $m $的双链表，存储在长度为 $n $的数组 key、next 和 prev 中。假设这些数组由维护双链自由表 $F $的两个过程 ALLOCATE-OBJECT 和 FRE...,5241
练习题,10.4-1,第10章 基本数据结构,normal,画出由下列域表示的、根在下标6处的二叉树。 <table><tr><td>index</td><td>key</td><td>left</td><td>right</td></tr><tr><td>1...,5276
练习题,10.4-2,第10章 基本数据结构,normal,请写出一个 $O(n) $时间的递归过程，在给定含 $n $个结点的二叉树后，它可以将树中每个结点的关键字输出来。,5280
练习题,10.4-3,第10章 基本数据结构,normal,请写出一个 $O(n) $时间的非递归过程，将给定的 $n $结点二叉树中每个结点的关键字输出来。可以利用栈作为辅助数据结构。,5281
练习题,10.4-4,第10章 基本数据结构,normal,对于任意的用左孩子、右兄弟表示存储的、含 $n $个结点的有根树，写出一个 $O(n) $时间过程来输出每个结点的关键字。 $\star 10.4 - 5 $写出一个 $O(n) $时间的非递归过程，...,5282
练习题,*10.4-6,第10章 基本数据结构,hard,"在任意有根树的左孩子，右兄弟表示中，每个结点有三个指针：left-child, right-sibling 和 parent。从任意结点出发，都可以在常数时间到达其父亲结点；可以在与子女数成线性关系的...",5286
练习题,11.1-1,第11章散列表,normal,考虑由一个长度为 $m $的直接寻址表 $\pmb{T} $表示的动态集合 $S $。给出一个查找 $S $的最大元素的算法过程。所给的过程在最坏情况下的运行时间是什么？,5405
练习题,11.1-2,第11章散列表,normal,位向量(bit vector)是一种仅包含0和1的数组。长度为 $m $的位向量所占空间要比包含 $m $个指针的数组少得多。请说明如何用一个位向量来表示一个包含不同元素（无卫星数据）的动态集合。字典...,5406
练习题,11.1-3,第11章散列表,normal,"说明如何实现一个直接寻址表，使各元素的关键字不必都不相同，且各元素可以有卫星数据。所有三种字典操作(INSERT, DELETE和SEARCH)的时间应为 $O(1) $。（不要忘记DELETE指向要...",5407
练习题,*11.1-4,第11章散列表,hard,我们希望通过利用在一个非常大的数组上直接寻址的方式来实现字典。开始时，该数组中可能包含废料，但要对整个数组进行初始化是不实际的，因为该组的规模太大。请给出在大数组上实现直接寻址字典的方案。每个存储的对...,5408
练习题,11.2-1,第11章散列表,normal,"假设用一个散列函数 $h $，将 $n $个不同的关键字散列到一个长度为 $m $的数组 $T $中。假定采用的是简单一致散列法，那么期望的碰撞数是多少？更准确地，集合 $\{\{k, l\} : k...",5498
练习题,11.2-2,第11章散列表,normal,对于一个利用链接法解决碰撞的散列表，说明将关键字5、28、19、15、20、33、12、 17、10插入到该表中的过程。设该表中有9个槽位，并设散列函数为 $h(k) = k \bmod 9 $。,5500
练习题,11.2-3,第11章散列表,normal,Marley 教授做了这样一个假设，即如果将链接模式改动一下，使得每个链表都能保持已排序顺序，散列的性能就可以有很大的提高。Marley 教授的改动对成功查找、不成功查找、插入和删除操作的运行时间有什...,5503
练习题,11.2-4,第11章散列表,normal,说明在散列表内部，如何通过将所有未占用的槽位链接成一个自由链表，来分配和去配元素的存储空间。假定一个槽位可以存储一个标志、一个元素加上一个或两个指针。所有的字典和自由链表操作应具有 $O(1) $的期...,5504
练习题,11.2-5,第11章散列表,normal,证明：如果 $|U| > nm $，有一个 $U $的大小为 $n $的子集，它包含了均散列到同一槽位中的关键字，这样对于带链接的散列表，最坏情况下的查找时间为 $\Theta(n) $。,5505
练习题,11.3-1,第11章散列表,normal,假设我们希望查找一个长度为 $n $的链表，其中每一个元素都包含一个关键字 $k $和一个散列值 $h(k) $。每一个关键字都是长字符串。在表中查找具有给定关键字的元素时，如何利用各元素中的散列值？,5690
练习题,11.3-2,第11章散列表,normal,假设一个长度为 $r $的字符串被散列到 $m $个槽中，方法是将其视为一个以128为基数的数，然后应用除法方法。很容易把数 $m $表示为一个32位的机器字，但对长度为 $r $的字符串，由于它被当...,5691
练习题,11.3-3,第11章散列表,normal,考虑除法方法的另一种版本，其中 $h(k) = k \bmod m $， $m = 2^p - 1 $， $k $为按基数 $2^p $解释的字符串。证明：如果串 $x $可由串 $y $通过其自身的...,5692
练习题,11.3-4,第11章散列表,normal,"考虑一个大小为 $m = 1000 $的散列表和一个对应的散列函数 $h(k) = \lfloor m(kA \bmod 1)\rfloor, A = (\sqrt{5} -1)/2 $。计算关键字6...",5693
练习题,*11.3-5,第11章散列表,hard,定义一个从有限集合 $U $到有限集合 $B $上的散列函数簇 $\mathcal{H} $为 $\varepsilon $全域的，如果对 $U $中所有的不同元素对 $k $和 $l $，都有： $...,5694
练习题,*11.3-6,第11章散列表,hard,设 $U $为由取自 $\mathbf{Z}_p $中的值构成的 $n $元组集合，并设 $B = \mathbf{Z}_p $，其中 $p $为质数。当输入为一个取自 $U $的输入 $n $元组 ...,5708
练习题,11.4-1,第11章散列表,normal,考虑将关键字 10、22、31、4、15、28、17、88、59 用开放寻址法插入到一个长度为 $m = 11 $的散列表中，主散列函数为 $h(k) = k \mod m $。说明用线性探查、二次探...,5886
练习题,11.4-2,第11章散列表,normal,请写出 HASH-DELETE 的伪代码；修改 HASH-INSERT，使之能处理特殊值 DELETED。,5887
练习题,*11.4-3,第11章散列表,hard,"假设采用双重散列来解决碰撞；亦即，所用的散列函数为 $h(k, i) = (h_1(k) + i h_2(k)) \bmod m $。证明：如果对某个关键字 $k, m $和 $h_2(k) $有最大...",5888
练习题,11.4-4,第11章散列表,normal,考虑一个采用了一致散列的开放寻址散列表。给出当装载因子为 $3/4 $和 $7/8 $时，在一次不成功查找中期望探查数的上界，以及一次成功查找中期望探查数的上界。,5889
练习题,*11.4-5,第11章散列表,hard,考虑一个装载因子为 $\alpha $的开放寻址散列表。找出一个非0值 $\alpha $，使得在一次不成功的查找中，期望的探查数等于成功查找中期望探查数的两倍。此处的两个期望探查数上界可以根据定理1...,5890
练习题,*11.5-1,第11章散列表,hard,"假设要将 $n $个关键字插入到一个大小为 $m $、采用了开放寻址法和一致散列技术的散列表中。设 $p(n, m) $为没有碰撞发生的概率。证明： $p(n, m) \leqslant e^{-n(...",5983
练习题,12.1-1,第12章 二叉查找树,normal,"基于关键字集合 $\{1, 4, 5, 10, 16, 17, 21\} $，画出高度为 2、3、4、5、6 的二叉查找树。",6118
练习题,12.1-2,第12章 二叉查找树,normal,二叉查找树性质与最小堆性质（见6.1节）之间有什么区别？能否利用最小堆性质在 $O(n) $时间内，按序输出含有 $n $个结点的树中的所有关键字？行的话，解释该怎么做；不行的话，说明原因。,6119
练习题,12.1-3,第12章 二叉查找树,normal,给出一个非递归的中序树遍历算法。（提示：有两种方法，在较容易的方法中，可以采用栈作为辅助数据结构；在较为复杂的方法中，不采用栈结构，但假设可以测试两个指 针是否相等。）,6120
练习题,12.1-4,第12章 二叉查找树,normal,对一棵含有 $n $个结点的树，给出能在 $\Theta(n) $时间内，完成前序遍历和后序遍历的递归算法。,6124
练习题,12.1-5,第12章 二叉查找树,normal,论证：在比较模型中，最坏情况下排序 $n $个元素的时间为 $\Omega (n\lg n) $，则为从任意的 $n $个元素中构造出一棵二叉查找树，任何一个基于比较的算法在最坏情况下，都要花 $\O...,6125
练习题,12.2-1,第12章 二叉查找树,normal,假设在某二叉查找树中，有 1 到 1000 之间的一些数，现要找出 363 这个数。下列的结点序列中，哪一个不可能是所检查的序列？ a)2，252，401，398，330，344，397，363 b)...,6211
练习题,12.2-2,第12章 二叉查找树,normal,写出 TREE-MINIMUM 和 TREE-MAXIMUM 过程的递归版本。,6217
练习题,12.2-3,第12章 二叉查找树,normal,写出 TREE-PREDECESSOR 过程。,6218
练习题,12.2-4,第12章 二叉查找树,normal,Bunyan 教授认为他发现了二叉查找树的一个重要性质。假设在二叉查找树中，对某关键字 $k $的查找在一个叶结点处结束，考虑三个集合：A，包含查找路径左边的关键字；B，包含查找路径上的关键字；C，包...,6219
练习题,12.2-5,第12章 二叉查找树,normal,证明：如果二叉查找树中的某个结点有两个子女，则其后继没有左子女，其前趋没有右子女。,6220
练习题,12.2-6,第12章 二叉查找树,normal,考虑一棵其关键字各不相同的二叉查找树 $T $。证明：如果 $T $中某个结点 $x $的右子树为空，且 $x $有一个后继 $y $，那么 $y $就是 $x $的最低祖先，且其左孩子也是 $x $...,6221
练习题,12.2-7,第12章 二叉查找树,normal,对于一棵包含 $n $个结点的二叉查找树，其中序遍历可以这样来实现：先用 TREE-MINIMUM 找出树中的最小元素，然后再调用 $n - 1 $次 TREE-SUCCESSION。证明这个算法的运...,6222
练习题,12.2-8,第12章 二叉查找树,normal,证明：在一棵高度为 $h $的二叉查找树中，无论从哪一个结点开始，连续 $k $次调用 TEE-SUCCESSION 所需的时间都是 $O(k + h) $。,6223
练习题,12.2-9,第12章 二叉查找树,normal,设 $T $为一棵其关键字均不相同的二叉查找树，并设 $x $为一个叶子结点， $y $为其父结点。证明： $key[y] $或者是 $T $中大于 $key[x] $的最小关键字，或者是 $T $中...,6224
练习题,12.3-1,第12章 二叉查找树,normal,给出过程 TREE-INSERT 的一个递归版本。,6301
练习题,12.3-2,第12章 二叉查找树,normal,假设我们通过反复插入不同的关键字的做法来构造一棵二叉查找树。论证：为在树中查找 找一个关键字，所检查的结点数等于插入该关键字时所检查的结点数加1。,6302
练习题,12.3-3,第12章 二叉查找树,normal,可以这样来对 $n $个数进行排序：先构造一棵包含这些数的二叉查找树（重复应用 TREE-INSERT 来逐个地插入这些数），然后按中序遍历来输出这些数。这个排序算法的最坏情况和最好情况运行时间怎样？,6306
练习题,12.3-4,第12章 二叉查找树,normal,假设另有一种数据结构中包含指向二叉查找树中某结点 $y $的指针，并假设用过程 TREE-DELETE 来删除 $y $的前趋 $z $。这样做会出现哪些问题？如何改写 TREE-DELETE 来解决...,6307
练习题,12.3-5,第12章 二叉查找树,normal,删除操作是可交换的吗？（也就是说，先删除 $x $，再删除 $y $的二叉查找树与先删除 $y $再删除 $x $的一样）说明为什么是的，或者给出一个反例。,6308
练习题,12.3-6,第12章 二叉查找树,normal,当 TREE-DELETE 中的结点 $z $有两个子结点时，可以将其前趋（而不是后继）拼接掉。有些人提出了一种公平的策略，即为前趋和后继结点赋予相同的优先级，从而可以得到更好的经验性能。那么，应如何...,6309
练习题,12.4-1,第12章 二叉查找树,normal,证明等式(12.3)。,6409
练习题,12.4-2,第12章 二叉查找树,normal,请描述这样的一棵二叉查找树：其中每个结点的平均深度为 $\Theta (\lg n) $，但树的深度为 $\omega (\lg n) $。对于一棵含 $n $个结点的二叉查找树，如果其中每个结点的平...,6410
练习题,12.4-3,第12章 二叉查找树,normal,说明基于 $n $个关键字的随机选择二叉查找树概念（每棵包含 $n $个结点的树被选到的可能性相同），与本节中介绍的随机构造二叉查找树的概念是不同的（提示：列出 $n = 3 $时的各种可能）。,6411
练习题,12.4-4,第12章 二叉查找树,normal,证明： $f(x) = 2^x $是凸函数。,6412
练习题,*12.4-5,第12章 二叉查找树,hard,现对 $n $个输入数调用RRANDOMIZED-QUICKSORT。证明：对任何常数 $k > 0 $，输入数的所有 $n! $种排列中，除了其中的 $O(1 / n^{k}) $种排列之外，都有 ...,6413
练习题,13.1-1,第13章红黑树,normal,"使用图 13-1a 的格式，画出在关键字集合 $\{1,2,\dots ,15\} $上高度为3的完全二叉查找树。以三种不同方式，向图中加入NIL叶结点并对各结点着色，使所得的红黑树的黑高度分别为2，...",6578
练习题,13.1-2,第13章红黑树,normal,对图13-1中的红黑树，画出调用TREE-INSERT插入关键字36后的结果。如果插入的结点被标为红色，所得的树是否还是一棵红黑树？如果该结点被标为黑色呢？,6579
练习题,13.1-3,第13章红黑树,normal,"定义松弛红黑树为满足红黑性质 1, 3, 4 和 5 的二叉查找树。换言之，根部可以是红色或是黑色。考虑一棵根是红色的松弛红黑树 $T $。如果将 $T $的根部标为黑色而其他都不变，则所得到的是否还...",6580
练习题,13.1-4,第13章红黑树,normal,假设将一棵红黑树的每一个红结点“吸收”到它的黑色父结点中，来让红结点的子女变成黑色父结点的子女（忽略关键字的变化）。当一个黑结点的所有红色子女都被吸收后，其可能的度是多少？此结果树的叶子深度怎样？,6581
练习题,13.1-5,第13章红黑树,normal,证明：在一棵红黑树中，从某结点 $x $到其后代叶结点的所有简单路径中，最长的一条是最短一条的至多两倍。,6582
练习题,13.1-6,第13章红黑树,normal,在一棵黑高度为 $k $的红黑树中，内结点最多可能有多少个？最少可能有多少个？,6583
练习题,13.1-7,第13章红黑树,normal,请描述出一棵在 $n $个关键字上构造出来的红黑树，使其中红的内结点数与黑的内结点数的比值最大。这个比值是多少？具有最小可能比例的树又是怎样？此比值是多少？,6584
练习题,13.2-1,第13章红黑树,normal,写出RIGHT-ROTATE的伪代码。,6621
练习题,13.2-2,第13章红黑树,normal,证明：在一棵有 $n $个结点的二叉查找树中，刚好有 $n - 1 $种可能的旋转。,6622
练习题,13.2-3,第13章红黑树,normal,"设在图 13-2 的左边一棵树中， $a, b $和 $c $分别为子树 $\alpha, \beta $和 $\gamma $中的任意结点。如果将结点 $x $左旋，则 $a, b $和 $c $的...",6623
练习题,13.2-4,第13章红黑树,normal,证明：任何一棵含 $n $个结点的二叉查找树，可以通过 $O(n) $次旋转，转变为另一棵含 $n $个结点的二叉查找树。 $\star 13.2-5 $如果能够使用一系列的 RIGHT-ROTATE...,6624
练习题,13.3-1,第13章红黑树,normal,在RB-INSERT的第16行中，假设新插入的结点 $z $是红的。注意如果将 $z $着为黑色，则红黑树的性质4)就不会被破坏。那么我们为什么没有选择将 $z $着为黑色呢？,6755
练习题,13.3-2,第13章红黑树,normal,在将关键字41，38，31，12，19，8插入一棵初始为空的红黑树中之后，结果树是什么样子？,6756
练习题,13.3-3,第13章红黑树,normal,"假设图 13-5 和图 13-6 中子树 $\alpha, \beta, \gamma, \delta $和 $\varepsilon $的黑高度都是 $k $。标上各个结点的黑高度， 以验证图中所示...",6757
练习题,13.3-4,第13章红黑树,normal,Teach 教授担心 RB-INSERT-FIXUP 可能将 color[nil[T]] 设置为 RED，这时当 $z $为根时第 1 行的测试就不会让循环结束。通过证明 RB-INSERT-FIXU...,6761
练习题,13.3-5,第13章红黑树,normal,考虑用RB-INSERT插入 $n $个结点而成的一棵红黑树。证明：如果 $n > 1 $，则该树至少有一个红结点。,6762
练习题,13.3-6,第13章红黑树,normal,说明如果红黑树的表示中不提供父指针的话，应当如何有效地实现RB-INSERT。,6764
练习题,13.4-1,第13章红黑树,normal,证明：在执行RB-DELETE-FIXUP之后，树根总是黑色的。,6881
练习题,13.4-2,第13章红黑树,normal,证明：在RB-DELETE中，如果 $x $和 $p[y] $都是红色的，则性质4)可以通过调用RB-DELETE-FIXUP(T， $\pmb{x} $)来恢复。,6882
练习题,13.4-3,第13章红黑树,normal,在练习 13.3-2 中，我们将关键字 41，38，31，12，19，8 连续插入一棵初始为空的树中，从而得到一棵红黑树。请给出从该树中连续删除关键字 8，12，19，31，38，41 后的结果。,6883
练习题,13.4-4,第13章红黑树,normal,在RB-BLATE-FIXUP的哪些行中，可能会检查或修改哨兵 $nil[T] $？,6884
练习题,13.4-5,第13章红黑树,normal,"在图 13-7 的每种情况中，给出所示子树的根至每个子树 $\alpha, \beta, \cdots, \zeta $之间的黑结点个数，并验证它们在转换之后保持不变。当一个结点的 color 属性为...",6886
练习题,13.4-6,第13章红黑树,normal,Skelton 和 Baron 教授担心在 RB-DELETE-FIXUP 的情况 1) 的开头，结点 $p[x] $可能不是黑色。如果这两位教授是对的，则第 5、6 行就是错的。证明 $p[x] $...,6887
练习题,13.4-7,第13章红黑树,normal,假设用RB-INSERT来将一个结点 $\pmb{x} $插入一棵红黑树，紧接着又用RB-DELETE将它从树中删除。结果的红黑树与初始的红黑树是否相同？对你的答案加以说明。,6888
练习题,14.1-1,第14章 数据结构的扩张,normal,说明OS-SELECT(T，10)作用于图14-1中红黑树 $T $的过程。,7127
练习题,14.1-2,第14章 数据结构的扩张,normal,说明OS-RANK(T，x)作用于图14-1中红黑树T及关键字key[x]为35的结点 $\pmb{x} $上的过程。,7128
练习题,14.1-3,第14章 数据结构的扩张,normal,写出OS-SELECT的非递归形式。,7129
练习题,14.1-4,第14章 数据结构的扩张,normal,"写出一个递归过程 OS_KEY-RANK(T, k)，使之以一棵顺序统计树 $T $和某个关键字 $k $为输入，返回在由 $T $表示的动态集合中 $k $的秩。假设 $T $的所有关键字都是不同的...",7130
练习题,14.1-5,第14章 数据结构的扩张,normal,给定含 $n $个元素的顺序统计树中的一个元素 $x $和一个自然数 $i $，如何在 $O(\lg n) $时间内，确定 $x $在该树的线性序中第 $i $个后继？,7131
练习题,14.1-6,第14章 数据结构的扩张,normal,在 OS-SELECT 或 OS-RANK 中，每次引用结点的 size 域都仅是为了计算在以结点为根的子树中该结点的秩。假设我们将每个结点的秩（对于以该结点为根的子树而言）存于该结点自身之中。说明在...,7132
练习题,14.1-7,第14章 数据结构的扩张,normal,说明如何在 $O(n \lg n) $的时间内，利用顺序统计树对大小为 $n $的数组中的逆序对（见思考题2-4）进行计数。,7133
练习题,*14.1-8,第14章 数据结构的扩张,hard,现有一个圆上的 $n $条弦，每条弦都是按其端点来定义的。请给出一个能在 $O(n \lg n) $时间内确定圆内相交弦的对数（例如，如果 $n $条弦都是直径，它们相交于圆心，则正确的答案为 $\b...,7134
练习题,14.2-1,第14章 数据结构的扩张,normal,"说明如何能在扩张的顺序统计树上，以最坏情况 $O(1) $的时间来支持动态集合查询操作 MINIMUM, MAXIMUM, SUCCESSOR 和 PREDECESSOR。顺序统计树上的其他操作的渐近...",7175
练习题,14.2-2,第14章 数据结构的扩张,normal,能否在不影响任何红黑树操作性能的前提下，将结点的黑高度作为一个域来维护？如果可以的话，说明怎样做；如果不能，说明为什么。,7176
练习题,14.2-3,第14章 数据结构的扩张,normal,能否将红黑树中结点的深度作为一个域来进行有效地维护？如果可以的话，说明怎样做；如果不能，说明为什么。,7177
练习题,*14.2-4,第14章 数据结构的扩张,hard,设 $\otimes $为一个满足结合律的二元运算符，另外，设 $a $为一棵红黑树的每一结点中的一个域。假设在每个结点 $x $中增加一个域 $f $，使 $f[x] = a[x_1] \otime...,7178
练习题,*14.2-5,第14章 数据结构的扩张,hard,"希望通过增加操作 RB-ENUMERATE(x, a, b) 来扩张红黑树。该操作输出所有的关键字 $k $，使在以 $x $为根的红黑树中有 $a \leqslant k \leqslant b $...",7179
练习题,14.3-1,第14章 数据结构的扩张,normal,写出作用于区间树的结点、并于 $O(1) $时间内更新 $\max $域的 LEFT-ROTATE 的伪代码。,7307
练习题,14.3-2,第14章 数据结构的扩张,normal,重写INTERVAL-SEARCH代码，使得当所有的区间都是开区间时，它也能正确地工作。,7308
练习题,14.3-3,第14章 数据结构的扩张,normal,请给出一个有效的算法，使对给定的区间 $i $，它返回一个与 $i $重叠的、具有最小低端点的区间；或者，当这样的区间不存在时返回 $nil[T] $。,7309
练习题,14.3-4,第14章 数据结构的扩张,normal,"给定一个区间树 $T $和一个区间 $i $，请描述如何能在 $O(\min(n, k \lg n)) $时间内，列出 $T $中所有与 $i $重叠的区间，此处 $k $为输出区间数。（可选：找出一...",7310
练习题,14.3-5,第14章 数据结构的扩张,normal,"请说明要对前面介绍的有关区间树的过程作哪些修改，才能支持操作INTERVAL-SEARCH-EXACTLY $(T, i) $，它返回一个指向区间树 $T $中结点 $x $的指针，使 $low[in...",7311
练习题,14.3-6,第14章 数据结构的扩张,normal,"请说明如何来维护一个支持操作 MIN-GAP 的动态数集 $Q $，使该操作能给出 $Q $中最近的两个数之间的差幅。例如，如 $Q = \{1, 5, 9, 15, 18, 22\} $，则 MIN...",7312
练习题,*14.3-7,第14章 数据结构的扩张,hard,VLSI数据库通常将一块集成电路表示成一组矩形。假设每个矩形的边都平行于 $x $轴或 $y $轴，因而矩形的表示中有最小和最大的 $x $和 $y $坐标。请给出一个能在 $O(\lg n) $时间...,7313
练习题,15.1-1,第15章 动态规划,normal,说明应如何修改程序 PRINT-STATIONS，让它以站号的递增顺序输出各装配站。（提示：利用递归。）,7539
练习题,15.1-2,第15章 动态规划,normal,利用公式(15.8)、(15.9)及替换法来证明：在递归算法中引用 $f_{i}[j] $的次数 $r_i(j) $等于 $2^{n - j} $。,7540
练习题,15.1-3,第15章 动态规划,normal,利用练习 15.1-2 的结果，证明所有引用 $f_{i}[j] $的总次数（即 $\sum_{i=1}^{2} \sum_{j=1}^{n} r_{i}(j) $）等于 $2^{n+1}-2 $。,7541
练习题,15.1-4,第15章 动态规划,normal,包含 $f_{i}[j] $和 $l_{i}[j] $值的表格共含有 $4n - 2 $个表项。说明如何把空间需求缩减到共 $2n + 2 $个表项，仍然能够计算出 $f^{*} $，并且仍然能够输出...,7542
练习题,15.2-1,第15章 动态规划,normal,"对维数为序列 $\langle 5, 10, 3, 12, 5, 50, 6 \rangle $的各矩阵，找出其矩阵链乘积的一个最优加全部括号。",7688
练习题,15.2-2,第15章 动态规划,normal,"请给出一个递归算法MATRIX-CHAIN-MULTIPLY(A,s,i,j)，使之在给出矩阵序列 $\langle A_1,A_2,\dots ,A_n\rangle $，和由MATRIX-CHAI...",7689
练习题,15.2-3,第15章 动态规划,normal,使用替换法证明递归公式(15.11)的解为 $\Omega (2^{n}) $,7691
练习题,15.2-4,第15章 动态规划,normal,"设 $R(i, j) $表示在调用MATRIX-CHAIN-ORDER中计算其他表项时，表项 $m[i, j] $被引用的次数。证明：对整个表总的引用次数为 $ $\sum_ {i = 1} ^ {n...",7692
练习题,15.2-5,第15章 动态规划,normal,证明：一个含 $n $个元素的表达式的加全部括号中恰有 $n - 1 $对括号。,7700
练习题,15.3-1,第15章 动态规划,normal,在确定矩阵链乘法中最优乘法次数时，下面哪种方法更为有效：枚举对乘积所有可能的加全部括号并逐一计算其乘法的次数，或者运行RECURSIVE-MATRIG-CHAIN？对你给出的回答加以说明。,7867
练习题,15.3-2,第15章 动态规划,normal,画出2.3.1节的过程MERGE-SORT作用于一个包含16个元素的数组上的递归树。请解释在加速一个好的分治算法如MERGE-SORT方面，做备忘录方法为什么没有什么效果？,7868
练习题,15.3-3,第15章 动态规划,normal,考虑矩阵链乘法问题的一个变形，其目标是加全部括号矩阵序列以最大化而不是最小化标量乘法的次数。这个问题是否具有最优子结构？,7869
练习题,15.3-4,第15章 动态规划,normal,描述装配线调度问题如何具有重叠子问题。,7870
练习题,15.3-5,第15章 动态规划,normal,在动态规划中，我们先求解各个子问题，然后再来决定该选择它们中的哪一个来用在原问题的一个最优解中。Capulet教授宣称，在寻找一个最优解时，并非总是需要解决所有的子问题。她认为，矩阵链乘法问题的一个最...,7871
练习题,15.4-2,第15章 动态规划,normal,"说明如何在不用表 $b $的情况下，通过已计算出的表 $c $和原始序列 $X = \langle x_1, x_2, \dots, x_m \rangle $与 $Y = \langle y_1, ...",7989
练习题,15.4-3,第15章 动态规划,normal,请给出一个LCS-LENGTH的运行时间为 $O(mn) $的做备忘录版本。,7990
练习题,15.4-4,第15章 动态规划,normal,"说明如何仅用表 $c $中的 $2 \cdot \min(m, n) $项以及 $O(1) $的额外空间来计算一个 LCS 的长度。然后，说明如何用 $\min(m, n) $项以及 $O(1) $的...",7991
练习题,15.4-5,第15章 动态规划,normal,请给出一个 $O(n^{2}) $时间的算法，使之能找出一个 $n $个数的序列中最长的单调递增子序列。,7992
练习题,*15.4-6,第15章 动态规划,hard,请给出一个 $O(n \lg n) $时间的算法，使之能找出一个 $n $个数的序列中最长的单调递增子序列。（提示：观察长度为 $i $的一个候选子序列的最后一个元素，它至少与长度为 $i - 1 $...,7993
练习题,15.5-1,第15章 动态规划,normal,写出过程 CONSTRUCT-OPTIMAL-BST(root) 的伪代码，给定表 root，输出一棵最优二叉查找树的结构。对图 15-8 中的例子，你的伪代码应该输出结构 $k_{2} $是根 $k...,8135
